date,cum_mm,cum_m3,cum_mm_clipped
2026-06-15,7.6253,1226.8574,7.6253
2026-06-16,11.7546,1891.2467,11.7546
2026-06-17,18.9392,3047.2043,18.9392
2026-06-18,25.8249,4155.0707,25.8249
2026-06-19,32.7547,5270.0319,32.7547
2026-06-20,39.1796,6303.7686,39.1796
2026-06-21,46.8396,7536.2143,46.8396
2026-06-22,54.5004,8768.7924,54.5004
2026-06-23,61.9584,9968.7312,61.9584
2026-06-24,68.9204,11088.8835,68.9204
2026-06-25,76.7420,12347.3251,76.7420
2026-06-26,83.1816,13383.4201,83.1816
2026-06-27,90.0261,14484.6662,90.0261
2026-06-28,94.4560,15197.4067,94.4560
2026-06-29,100.6854,16199.6809,100.6854
2026-06-30,107.7292,17332.9829,107.7292
2026-07-01,113.3858,18243.0897,113.3858
2026-07-02,120.3821,19368.7597,120.3821
2026-07-03,126.8834,20414.7752,126.8834
2026-07-04,134.1909,21590.5177,134.1909
2026-07-05,141.6196,22785.7510,141.6196
2026-07-06,149.2437,24012.4083,149.2437
2026-07-07,156.8018,25228.4755,156.8018
2026-07-08,164.2445,26425.9603,164.2445
2026-07-09,171.8171,27644.3348,171.8171
2026-07-10,179.2786,28844.8586,179.2786
2026-07-11,186.4181,29993.5611,186.4181
2026-07-12,193.6250,31153.1012,193.6250
2026-07-13,199.2987,32065.9660,199.2987
2026-07-14,205.6715,33091.3103,205.6715
2026-07-15,211.1517,33973.0339,211.1517
2026-07-16,214.7747,34555.9617,214.7747
2026-07-17,220.7507,35517.4675,220.7507
2026-07-18,226.3606,36420.0564,226.3606
2026-07-19,232.9371,37478.1841,232.9371
2026-07-20,239.7695,38577.4809,239.7695
