date,E_mm,Rn_day_MJ,n_valid_hours,partial_day,E_m3,cum_mm,cum_m3,E_mm_clipped,cum_mm_clipped
2026-06-15,7.6253,21.9047,24,False,1226.8574,7.6253,1226.8574,7.6253,7.6253
2026-06-16,4.1294,13.2925,24,False,664.3894,11.7546,1891.2467,4.1294,11.7546
2026-06-17,7.1846,21.6973,24,False,1155.9576,18.9392,3047.2043,7.1846,18.9392
2026-06-18,6.8857,19.5506,24,False,1107.8664,25.8249,4155.0707,6.8857,25.8249
2026-06-19,6.9298,20.4813,24,False,1114.9612,32.7547,5270.0319,6.9298,32.7547
2026-06-20,6.4250,19.4443,24,False,1033.7367,39.1796,6303.7686,6.4250,39.1796
2026-06-21,7.6600,21.2915,24,False,1232.4457,46.8396,7536.2143,7.6600,46.8396
2026-06-22,7.6608,20.7223,24,False,1232.5781,54.5004,8768.7924,7.6608,54.5004
2026-06-23,7.4579,20.0325,24,False,1199.9389,61.9584,9968.7312,7.4579,61.9584
2026-06-24,6.9621,18.7241,24,False,1120.1522,68.9204,11088.8835,6.9621,68.9204
2026-06-25,7.8216,21.3354,24,False,1258.4417,76.7420,12347.3251,7.8216,76.7420
2026-06-26,6.4396,19.2798,24,False,1036.0950,83.1816,13383.4201,6.4396,83.1816
2026-06-27,6.8445,19.6336,24,False,1101.2461,90.0261,14484.6662,6.8445,90.0261
2026-06-28,4.4299,13.6290,24,False,712.7406,94.4560,15197.4067,4.4299,94.4560
2026-06-29,6.2294,19.5022,24,False,1002.2742,100.6854,16199.6809,6.2294,100.6854
2026-06-30,7.0438,21.3742,24,False,1133.3020,107.7292,17332.9829,7.0438,107.7292
2026-07-01,5.6566,18.0824,24,False,910.1068,113.3858,18243.0897,5.6566,113.3858
2026-07-02,6.9963,22.0429,24,False,1125.6699,120.3821,19368.7597,6.9963,120.3821
2026-07-03,6.5013,19.9497,24,False,1046.0155,126.8834,20414.7752,6.5013,126.8834
2026-07-04,7.3076,21.4038,24,False,1175.7425,134.1909,21590.5177,7.3076,134.1909
2026-07-05,7.4287,21.6999,24,False,1195.2333,141.6196,22785.7510,7.4287,141.6196
2026-07-06,7.6240,21.2189,24,False,1226.6573,149.2437,24012.4083,7.6240,149.2437
2026-07-07,7.5582,20.4542,24,False,1216.0673,156.8018,25228.4755,7.5582,156.8018
2026-07-08,7.4427,21.4471,24,False,1197.4848,164.2445,26425.9603,7.4427,164.2445
2026-07-09,7.5725,20.9818,24,False,1218.3745,171.8171,27644.3348,7.5725,171.8171
2026-07-10,7.4616,20.5935,24,False,1200.5237,179.2786,28844.8586,7.4616,179.2786
2026-07-11,7.1395,20.2110,24,False,1148.7025,186.4181,29993.5611,7.1395,186.4181
2026-07-12,7.2069,19.2791,24,False,1159.5401,193.6250,31153.1012,7.2069,193.6250
2026-07-13,5.6737,16.4542,24,False,912.8648,199.2987,32065.9660,5.6737,199.2987
2026-07-14,6.3728,18.6309,24,False,1025.3444,205.6715,33091.3103,6.3728,205.6715
2026-07-15,5.4802,15.4807,24,False,881.7236,211.1517,33973.0339,5.4802,211.1517
2026-07-16,3.6231,10.6406,24,False,582.9278,214.7747,34555.9617,3.6231,214.7747
2026-07-17,5.9760,18.2917,24,False,961.5059,220.7507,35517.4675,5.9760,220.7507
2026-07-18,5.6098,17.0239,24,False,902.5888,226.3606,36420.0564,5.6098,226.3606
2026-07-19,6.5766,20.0259,24,False,1058.1277,232.9371,37478.1841,6.5766,232.9371
2026-07-20,6.8324,20.6458,24,False,1099.2968,239.7695,38577.4809,6.8324,239.7695
2026-07-21,6.7047,20.2170,24,False,1078.7459,246.4742,39656.2268,6.7047,246.4742
2026-07-22,6.6187,19.6545,24,False,1064.9027,253.0929,40721.1295,6.6187,253.0929
2026-07-23,6.7594,20.2693,24,False,1087.5494,259.8523,41808.6789,6.7594,259.8523
2026-07-24,6.3510,18.3885,24,False,1021.8441,266.2034,42830.5230,6.3510,266.2034
2026-07-25,1.8818,5.2457,24,False,302.7749,268.0852,43133.2980,1.8818,268.0852
2026-07-26,3.4604,11.2285,24,False,556.7635,271.5456,43690.0615,3.4604,271.5456
2026-07-27,5.8252,18.5002,24,False,937.2365,277.3708,44627.2980,5.8252,277.3708
2026-07-28,6.8502,19.8022,24,False,1102.1481,284.2210,45729.4461,6.8502,284.2210
2026-07-29,6.1884,16.9752,24,False,995.6700,290.4093,46725.1161,6.1884,290.4093
2026-07-30,5.3176,16.4007,24,False,855.5752,295.7269,47580.6913,5.3176,295.7269
2026-07-31,3.0541,9.4633,24,False,491.3788,298.7810,48072.0701,3.0541,298.7810
2026-08-01,5.9193,18.0370,24,False,952.3784,304.7003,49024.4486,5.9193,304.7003
2026-08-02,6.3712,18.1706,24,False,1025.0861,311.0715,50049.5346,6.3712,311.0715
2026-08-03,2.2780,6.9991,24,False,366.5214,313.3495,50416.0561,2.2780,313.3495
2026-08-04,5.2186,16.2273,24,False,839.6346,318.5681,51255.6907,5.2186,318.5681
2026-08-05,5.9625,18.5197,24,False,959.3333,324.5306,52215.0240,5.9625,324.5306
2026-08-06,5.9342,18.7075,24,False,954.7718,330.4648,53169.7957,5.9342,330.4648
2026-08-07,6.1196,18.3017,24,False,984.6126,336.5844,54154.4083,6.1196,336.5844
2026-08-08,5.5409,15.5986,24,False,891.4917,342.1253,55045.9000,5.5409,342.1253
