,RH_pct,u10_ms,N_frac,source,T_C,Rs_Wm2,u2,Rs_MJ,Ra_MJ,Rso_MJ,Rn_MJ,E_hourly_mm
2026-06-15 00:00:00,48.000000,3.200000,,datagouv,19.000000,0.000000,2.393443,0.000000,0.000000,0.000000,-0.094920,-0.016669
2026-06-15 01:00:00,49.000000,2.500000,,datagouv,18.400000,0.000000,1.869878,0.000000,0.000000,0.000000,-0.094723,-0.017748
2026-06-15 02:00:00,53.000000,2.400000,,datagouv,17.300000,0.000000,1.795083,0.000000,0.000000,0.000000,-0.092990,-0.017706
2026-06-15 03:00:00,61.000000,2.200000,,datagouv,15.400000,0.000000,1.645492,0.000000,0.000000,0.000000,-0.089933,-0.017657
2026-06-15 04:00:00,65.000000,1.800000,,datagouv,14.600000,0.000000,1.346312,0.000000,0.239130,0.179644,-0.013622,0.000775
2026-06-15 05:00:00,65.000000,1.900000,,datagouv,14.700000,19.444444,1.421107,0.070000,0.987606,0.741929,0.050792,0.017004
2026-06-15 06:00:00,53.000000,1.100000,,datagouv,19.900000,138.888889,0.822746,0.500000,1.774292,1.332919,0.416485,0.121302
2026-06-15 07:00:00,34.000000,2.600000,,datagouv,24.900000,308.333333,1.944673,1.110000,2.532960,1.902861,0.883547,0.278868
2026-06-15 08:00:00,25.000000,4.200000,,datagouv,28.200000,480.555556,3.141395,1.730000,3.211907,2.412913,1.380125,0.455193
2026-06-15 09:00:00,19.000000,4.300000,,datagouv,30.500000,647.222222,3.216190,2.330000,3.764864,2.828317,1.862301,0.626791
2026-06-15 10:00:00,17.000000,4.800000,,datagouv,31.800000,786.111111,3.590165,2.830000,4.154149,3.120763,2.271736,0.773285
2026-06-15 11:00:00,16.000000,3.300000,,datagouv,32.900000,880.555556,2.468239,3.170000,4.353233,3.270322,2.547378,0.869396
2026-06-15 12:00:00,14.000000,2.600000,,datagouv,32.600000,925.000000,1.944673,3.330000,4.348547,3.266802,2.663944,0.903333
2026-06-15 13:00:00,14.000000,2.600000,,datagouv,33.900000,925.000000,1.944673,3.330000,4.140411,3.110443,2.664923,0.915872
2026-06-15 14:00:00,13.000000,3.900000,,datagouv,34.200000,880.555556,2.917009,3.170000,3.743010,2.811899,2.509947,0.871373
2026-06-15 15:00:00,14.000000,2.800000,,datagouv,34.400000,788.888889,2.094263,2.840000,3.183426,2.391517,2.214603,0.768826
2026-06-15 16:00:00,13.000000,1.300000,,datagouv,34.800000,655.555556,0.972336,2.360000,2.499793,1.877944,1.765174,0.613766
2026-06-15 17:00:00,17.000000,6.200000,,datagouv,31.600000,491.666667,4.637297,1.770000,1.738700,1.306181,1.248537,0.440037
2026-06-15 18:00:00,24.000000,5.400000,,datagouv,30.100000,313.888889,4.038936,1.130000,0.952013,0.715191,0.696934,0.249225
2026-06-15 19:00:00,32.000000,3.300000,,datagouv,28.000000,122.222222,2.468239,0.440000,0.212695,0.159785,0.092181,0.044174
2026-06-15 20:00:00,49.000000,2.900000,,datagouv,24.100000,0.000000,2.169058,0.000000,0.000000,0.000000,-0.271501,-0.071242
2026-06-15 21:00:00,57.000000,3.700000,,datagouv,22.400000,0.000000,2.767419,0.000000,0.000000,0.000000,-0.258832,-0.066087
2026-06-15 22:00:00,73.000000,2.900000,,datagouv,20.300000,0.000000,2.169058,0.000000,0.000000,0.000000,-0.235427,-0.061249
2026-06-15 23:00:00,93.000000,5.500000,,datagouv,18.400000,0.000000,4.113731,0.000000,0.000000,0.000000,-0.211968,-0.055609
2026-06-16 00:00:00,93.000000,2.500000,,datagouv,18.500000,0.000000,1.869878,0.000000,0.000000,0.000000,-0.211348,-0.056201
2026-06-16 01:00:00,88.000000,2.800000,,datagouv,18.900000,0.000000,2.094263,0.000000,0.000000,0.000000,-0.216906,-0.057251
2026-06-16 02:00:00,85.000000,4.100000,,datagouv,19.100000,0.000000,3.066599,0.000000,0.000000,0.000000,-0.220695,-0.057387
2026-06-16 03:00:00,83.000000,4.200000,,datagouv,18.700000,0.000000,3.141395,0.000000,0.000000,0.000000,-0.226345,-0.058035
2026-06-16 04:00:00,83.000000,3.000000,,datagouv,18.900000,0.000000,2.243853,0.000000,0.238975,0.179528,-0.011261,-0.000148
2026-06-16 05:00:00,82.000000,3.100000,,datagouv,19.100000,0.000000,2.318648,0.000000,0.986952,0.741438,-0.011289,0.000077
